match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
1226871,2020,2021-01-07,Sydney Thunder,Hobart Hurricanes,Perth Stadium,Sydney Thunder,Hobart Hurricanes,field,NA,Neutral,No,neutral
1226872,2020,2020-12-11,Brisbane Heat,Melbourne Stars,"Manuka Oval, Canberra",Melbourne Stars,Melbourne Stars,field,NA,Neutral,Yes,neutral
1226873,2020,2020-12-20,Sydney Sixers,Adelaide Strikers,"Bellerive Oval, Hobart",Sydney Sixers,Adelaide Strikers,field,NA,Neutral,No,neutral
1226874,2020,2020-12-26,Sydney Thunder,Melbourne Renegades,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Renegades,field,Sydney Thunder,Win,No,away
1226875,2020,2020-12-30,Hobart Hurricanes,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1226876,2020,2021-01-11,Melbourne Stars,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Melbourne Stars,bat,Adelaide Strikers,Win,No,away
1226877,2020,2020-12-29,Melbourne Renegades,Sydney Sixers,Carrara Oval,Sydney Sixers,Melbourne Renegades,bat,NA,Neutral,No,neutral
1226878,2020,2021-01-09,Perth Scorchers,Sydney Thunder,Perth Stadium,Perth Scorchers,Sydney Thunder,field,Perth Scorchers,Win,No,away
1226879,2020,2021-01-04,Melbourne Stars,Hobart Hurricanes,"Bellerive Oval, Hobart",Melbourne Stars,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1226880,2020,2021-01-22,Sydney Thunder,Sydney Sixers,Adelaide Oval,Sydney Thunder,Sydney Sixers,field,NA,Neutral,No,neutral
1226881,2020,2020-12-23,Adelaide Strikers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1226882,2020,2021-02-04,Perth Scorchers,Brisbane Heat,"Manuka Oval, Canberra",Perth Scorchers,Brisbane Heat,field,NA,Neutral,No,neutral
1226883,2020,2021-01-29,Adelaide Strikers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Adelaide Strikers,bat,Brisbane Heat,Win,No,away
