ID,Name,searchstring,Country,Played
38710,DL Vettori (Daniel Vettori),DL Vettori,NZ,"Test matches player (1996/97 - 2014/15, 113 matches)One-Day Internationals player (1996/97 - 2014/15, 295 matches)Twenty20 Internationals player (2007/08 - 2014/15, 34 matches)Combined Test, ODI and T20I player (1996/97 - 2014/15)Under-19s Youth Test matches player (1996, 3 matches)Under-19s Youth One-Day Internationals player (1996, 2 matches)Twenty20 matches player (2005/06 - 2015, 143 matches)"
499661,ND Bills (Nicholas Bills),ND Bills,AUS,"Twenty20 matches player (2011/12, 1 match)"
270460,MR Day (Matthew Day),MR Day,AUS,"Under-19s Youth One-Day Internationals player (2007, 4 matches)Twenty20 matches player (2011/12, 1 match)"
7698,CR Swan (Chris Swan),CR Swan,AUS,"Twenty20 matches player (2011/12, 1 match)"
272385,JK Lalor (Josh Lalor),JK Lalor,AUS,"Twenty20 matches player (2011/12 - 2021/22, 65 matches)"
307494,JM Herrick (Jayde Herrick),JM Herrick,AUS/NZ,"Twenty20 matches player (2011/12 - 2013/14, 2 matches)"
434804,BG McDonald (Brenton McDonald),BG McDonald,AUS,"Twenty20 matches player (2011/12, 1 match)"
37004,JEC Franklin (James Franklin),JEC Franklin,NZ,"Test matches player (2000/01 - 2012/13, 31 matches)One-Day Internationals player (2000/01 - 2013, 110 matches)Twenty20 Internationals player (2005/06 - 2013, 38 matches)Combined Test, ODI and T20I player (2000/01 - 2013)Under-19s Youth Test matches player (1998/99, 3 matches)Under-19s Youth One-Day Internationals player (1997/98 - 1999/00, 13 matches)Twenty20 matches player (2004 - 2018, 233 matches)"
232289,IA Moran (Ian Moran),IA Moran,AUS,"Twenty20 matches player (2005/06 - 2014/15, 9 matches)"
270253,DJ Pattinson (Darren Pattinson),DJ Pattinson,ENG,"Test matches player (2008, 1 match)Twenty20 matches player (2006/07 - 2012/13, 64 matches)"
5334,AJ Finch (Aaron Finch),AJ Finch,AUS,"Test matches player (2018/19, 5 matches)One-Day Internationals player (2012/13 - 2022, 146 matches)Twenty20 Internationals player (2010/11 - 2022/23, 103 matches)Combined Test, ODI and T20I player (2010/11 - 2022/23)Under-19s Youth One-Day Internationals player (2005/06, 10 matches)Twenty20 matches player (2008/09 - 2023/24, 387 matches)"
230194,WD Sheridan (William Sheridan),WD Sheridan,AUS,"Under-19s Youth One-Day Internationals player (2005/06, 2 matches)Twenty20 matches player (2011/12 - 2013/14, 13 matches)"
1380123,MK Gnanasekaram (Muralitharan Gnanasekaram),M Muralitharan,SUI,"Twenty20 Internationals player (2023, 7 matches)Twenty20 matches player (2023, 7 matches)"
49758,SL Malinga (Lasith Malinga),SL Malinga,SL,"Test matches player (2004 - 2010, 30 matches)One-Day Internationals player (2004 - 2019, 226 matches)Twenty20 Internationals player (2006 - 2019/20, 84 matches)Combined Test, ODI and T20I player (2004 - 2019/20)Twenty20 matches player (2004 - 2019/20, 295 matches)"
366580,LW Feldman (Luke Feldman),LW Feldman,AUS,"Twenty20 matches player (2010/11 - 2016/17, 23 matches)"
49700,BMAJ Mendis (Jeevan Mendis),BMAJ Mendis,SL,"One-Day Internationals player (2010 - 2019, 58 matches)Twenty20 Internationals player (2011 - 2017/18, 22 matches)Combined Test, ODI and T20I player (2010 - 2019)Under-19s Youth One-Day Internationals player (2001/02, 11 matches)Twenty20 matches player (2004 - 2020/21, 162 matches)"
553800,CP Tremain (Chris Tremain),CP Tremain,AUS,"One-Day Internationals player (2016/17, 4 matches)Twenty20 matches player (2012/13 - 2020/21, 52 matches)"
499660,GS Sandhu (Gurinder Sandhu),GS Sandhu,AUS,"One-Day Internationals player (2014/15, 2 matches)Under-19s Youth One-Day Internationals player (2012, 13 matches)Twenty20 matches player (2012/13 - 2025/26, 87 matches)"
355683,GS Sandhu (Gurjit Sandhu),GS Sandhu,ENG,"Twenty20 matches player (2013 - 2015, 9 matches)"
