match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
897757,2016-01-18,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,,27,,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
897759,2016-01-21,Adelaide Strikers,Sydney Thunder,Sydney Thunder,,,8,Adelaide Oval,Adelaide Strikers,bat,Adelaide Strikers
897761,2016-01-22,Melbourne Stars,Perth Scorchers,Melbourne Stars,,,7,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
897763,2016-01-24,Melbourne Stars,Sydney Thunder,Sydney Thunder,,,3,Melbourne Cricket Ground,Sydney Thunder,field,Melbourne Stars
1023581,2016-12-20,Sydney Thunder,Sydney Sixers,Sydney Sixers,,,9,Sydney Showground Stadium,Sydney Sixers,field,Sydney Thunder
1023583,2016-12-21,Adelaide Strikers,Brisbane Heat,Brisbane Heat,,10,,Adelaide Oval,Adelaide Strikers,field,Adelaide Strikers
1023585,2016-12-22,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,,49,,"Docklands Stadium, Melbourne",Sydney Thunder,field,Melbourne Renegades
1023587,2016-12-23,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,,60,,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
1023589,2016-12-23,Perth Scorchers,Adelaide Strikers,Perth Scorchers,,48,,Western Australia Cricket Association Ground,Adelaide Strikers,field,Perth Scorchers
1023591,2016-12-26,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,,,7,"Bellerive Oval, Hobart",Hobart Hurricanes,bat,Hobart Hurricanes
1023593,2016-12-27,Sydney Sixers,Perth Scorchers,Sydney Sixers,,,6,"Sydney Cricket Ground, Sydney",Perth Scorchers,bat,Sydney Sixers
1023595,2016-12-28,Sydney Thunder,Brisbane Heat,Brisbane Heat,,,3,Sydney Showground Stadium,Brisbane Heat,field,Sydney Thunder
